"Vendas","PreçoConcorrente","Renda","Publicidade","População","Preço","LocPrateleira","Idade","Educação","Urbano","EUA"
9.5,138,73,11,276,120,"Ruim",42,17,"Sim","Sim"
11.22,111,48,16,260,83,"Bom",65,10,"Sim","Sim"
10.06,113,35,10,269,80,"Medio",59,12,"Sim","Sim"
7.4,117,100,4,466,97,"Medio",55,14,"Sim","Sim"
4.15,141,64,3,340,128,"Ruim",38,13,"Sim","Nao"
10.81,124,113,13,501,72,"Ruim",78,16,"Nao","Sim"
6.63,115,105,0,45,108,"Medio",71,15,"Sim","Nao"
11.85,136,81,15,425,120,"Bom",67,10,"Sim","Sim"
6.54,132,110,0,108,124,"Medio",76,10,"Nao","Nao"
4.69,132,113,0,131,124,"Medio",76,17,"Nao","Sim"
9.01,121,78,9,150,100,"Ruim",26,10,"Nao","Sim"
11.96,117,94,4,503,94,"Bom",50,13,"Sim","Sim"
3.98,122,35,2,393,136,"Medio",62,18,"Sim","Nao"
10.96,115,28,11,29,86,"Bom",53,18,"Sim","Sim"
11.17,107,117,11,148,118,"Bom",52,18,"Sim","Sim"
8.71,149,95,5,400,144,"Medio",76,18,"Nao","Nao"
7.58,118,32,0,284,110,"Bom",63,13,"Sim","Nao"
12.29,147,74,13,251,131,"Bom",52,10,"Sim","Sim"
13.91,110,110,0,408,68,"Bom",46,17,"Nao","Sim"
8.73,129,76,16,58,121,"Medio",69,12,"Sim","Sim"
6.41,125,90,2,367,131,"Medio",35,18,"Sim","Sim"
12.13,134,29,12,239,109,"Bom",62,18,"Nao","Sim"
5.08,128,46,6,497,138,"Medio",42,13,"Sim","Nao"
5.87,121,31,0,292,109,"Medio",79,10,"Sim","Nao"
10.14,145,119,16,294,113,"Ruim",42,12,"Sim","Sim"
14.9,139,32,0,176,82,"Bom",54,11,"Nao","Nao"
8.33,107,115,11,496,131,"Bom",50,11,"Nao","Sim"
5.27,98,118,0,19,107,"Medio",64,17,"Sim","Nao"
2.99,103,74,0,359,97,"Ruim",55,11,"Sim","Sim"
7.81,104,99,15,226,102,"Ruim",58,17,"Sim","Sim"
13.55,125,94,0,447,89,"Bom",30,12,"Sim","Nao"
8.25,136,58,16,241,131,"Medio",44,18,"Sim","Sim"
6.2,107,32,12,236,137,"Bom",64,10,"Nao","Sim"
8.77,114,38,13,317,128,"Bom",50,16,"Sim","Sim"
2.67,115,54,0,406,128,"Medio",42,17,"Sim","Sim"
11.07,131,84,11,29,96,"Medio",44,17,"Nao","Sim"
8.89,122,76,0,270,100,"Bom",60,18,"Nao","Nao"
4.95,121,41,5,412,110,"Medio",54,10,"Sim","Sim"
6.59,109,73,0,454,102,"Medio",65,15,"Sim","Nao"
3.24,130,60,0,144,138,"Ruim",38,10,"Nao","Nao"
2.07,119,98,0,18,126,"Ruim",73,17,"Nao","Nao"
7.96,157,53,0,403,124,"Ruim",58,16,"Sim","Nao"
10.43,77,69,0,25,24,"Medio",50,18,"Sim","Nao"
4.12,123,42,11,16,134,"Medio",59,13,"Sim","Sim"
4.16,85,79,6,325,95,"Medio",69,13,"Sim","Sim"
4.56,141,63,0,168,135,"Ruim",44,12,"Sim","Sim"
12.44,127,90,14,16,70,"Medio",48,15,"Nao","Sim"
4.38,126,98,0,173,108,"Ruim",55,16,"Sim","Nao"
3.91,116,52,0,349,98,"Ruim",69,18,"Sim","Nao"
10.61,157,93,0,51,149,"Bom",32,17,"Sim","Nao"
1.42,99,32,18,341,108,"Ruim",80,16,"Sim","Sim"
4.42,121,90,0,150,108,"Ruim",75,16,"Sim","Nao"
7.91,153,40,3,112,129,"Ruim",39,18,"Sim","Sim"
6.92,109,64,13,39,119,"Medio",61,17,"Sim","Sim"
4.9,134,103,13,25,144,"Medio",76,17,"Nao","Sim"
